# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
AZV-ENCANT,Mint 75th Ave Phoenix,70260,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"1,029.77"
AZV-ENCANT,Mint 75th Ave Phoenix,50000,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,"8,347.40",0.00
AZV-ENCANT,Mint 75th Ave Phoenix,12250,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"8,347.40"
MID-ROSE,Mint Roseville,40001,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,"6,201.72"
MID-ROSE,Mint Roseville,40002,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,"1,628.52",0.00
MID-ROSE,Mint Roseville,40003,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-ROSE,Mint Roseville,40004,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,227.75,0.00
MID-ROSE,Mint Roseville,23500,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,759.02
MID-ROSE,Mint Roseville,10000,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,"4,845.96",0.00
MID-ROSE,Mint Roseville,11010,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-ROSE,Mint Roseville,70260,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,258.51
MID-ROSE,Mint Roseville,50000,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,"2,795.51",0.00
MID-ROSE,Mint Roseville,12250,2026-01-06 DS - Mint Roseville: Daily Sales,00-00,2026-01-06 DS,0.00,"2,795.51"
AZD-BUCK,Mint Buckeye/Verado,40001,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,"47,912.50"
AZD-BUCK,Mint Buckeye/Verado,40002,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,"15,404.23",0.00
AZD-BUCK,Mint Buckeye/Verado,40003,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-BUCK,Mint Buckeye/Verado,40004,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-BUCK,Mint Buckeye/Verado,23500,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,"7,203.63"
AZD-BUCK,Mint Buckeye/Verado,10000,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,"39,712.70",0.00
AZD-BUCK,Mint Buckeye/Verado,11010,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-BUCK,Mint Buckeye/Verado,70260,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.80,0.00
AZD-BUCK,Mint Buckeye/Verado,50000,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,"25,807.97",0.00
AZD-BUCK,Mint Buckeye/Verado,12250,2026-01-06 DS - Mint Buckeye/Verado: Daily Sales,00-00,2026-01-06 DS,0.00,"25,807.97"
FLD-CAPECO,Mint Cape Coral,40001,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,"3,532.99"
FLD-CAPECO,Mint Cape Coral,40002,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,"1,945.49",0.00
FLD-CAPECO,Mint Cape Coral,40003,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-CAPECO,Mint Cape Coral,40004,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-CAPECO,Mint Cape Coral,23500,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-CAPECO,Mint Cape Coral,10000,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,893.50,0.00
FLD-CAPECO,Mint Cape Coral,11010,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,650.00,0.00
FLD-CAPECO,Mint Cape Coral,70260,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,44.00
FLD-CAPECO,Mint Cape Coral,50000,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,912.93,0.00
FLD-CAPECO,Mint Cape Coral,12250,2026-01-06 DS - Mint Cape Coral: Daily Sales,00-00,2026-01-06 DS,0.00,912.93
